FundISIN,FundName,Currency,ShareType,ShareClass,ShareDistribution,SRRI,OngoingFee,EntryFee,PerformanceFee,GeographicalZone,InceptionDate
LU0557854147,AMUNDI FUNDS ASIA EQUITY CONCENTRATED ,EUR,Equities,A,Accumulating,6,0.0170,0.0150,0.2000,Emerging Countries,2010-11-22
LU0119085271,AMUNDI FUNDS ASIA EQUITY CONCENTRATED ,USD,Equities,A,Accumulating,6,0.0170,0.0150,0.2000,Emerging Countries,1990-12-28
LU1882447425,AMUNDI FUNDS EMERGING EUROPE AND MEDITERRANEAN EQUITY ,EUR,Equities,A,Accumulating,6,0.0180,0.0150,0.2000,Emerging Europe,2019-06-14
LU1882447698,AMUNDI FUNDS EMERGING EUROPE AND MEDITERRANEAN EQUITY ,USD,Equities,A,Accumulating,6,0.0180,0.0150,0.2000,Emerging Europe,2019-06-14
LU0557858130,AMUNDI FUNDS EMERGING WORLD EQUITY ,EUR,Equities,A,Accumulating,6,0.0170,0.0150,0.2000,Emerging Countries,2010-11-22
LU0347592197,AMUNDI FUNDS EMERGING WORLD EQUITY ,USD,Equities,A,Accumulating,6,0.0170,0.0150,0.2000,Emerging Countries,2008-03-04
LU1883306497,AMUNDI FUNDS EUROPEAN EQUITY SMALL CAP ,EUR,Equities,A,Accumulating,6,0.0180,0.0150,0.2000,Europe,2019-06-07
LU1883306570,AMUNDI FUNDS EUROPEAN EQUITY SMALL CAP ,USD,Equities,A,Accumulating,6,0.0180,0.0150,0.2000,Europe,2019-06-07
LU1883318740,AMUNDI FUNDS GLOBAL ECOLOGY ESG ,EUR,Equities,A,Accumulating,6,0.0150,0.0150,0.2000,World,2019-06-07
LU1883319045,AMUNDI FUNDS GLOBAL ECOLOGY ESG ,USD,Equities,A,Accumulating,6,0.0150,0.0150,0.2000,World,2019-06-07
LU1883854199,AMUNDI FUNDS PIONEER US EQUITY FUNDAMENTAL GROWTH ,EUR,Equities,A,Accumulating,6,0.0150,0.0150,0.2000,North America,2019-06-07
LU1883854355,AMUNDI FUNDS PIONEER US EQUITY FUNDAMENTAL GROWTH ,USD,Equities,A,Accumulating,6,0.0150,0.0150,0.2000,North America,2019-06-07
LU1882449801,AMUNDI FUNDS EMERGING MARKETS BOND ,EUR,FixedIncome,A,Accumulating,5,0.0135,0.0075,0.0000,Emerging Countries,2019-06-07
LU1882450304,AMUNDI FUNDS EMERGING MARKETS BOND ,USD,FixedIncome,A,Accumulating,5,0.0135,0.0075,0.0000,Emerging Countries,2019-06-07
LU1883316371,AMUNDI FUNDS GLOBAL AGGREGATE BOND ,EUR,FixedIncome,A,Accumulating,4,0.0095,0.0075,0.0000,World,2019-06-07
LU1049752592,AMUNDI FUNDS GLOBAL AGGREGATE BOND ,USD,FixedIncome,A,Accumulating,4,0.0095,0.0075,0.0000,World,2014-04-01
LU1883861137,AMUNDI FUNDS PIONEER US HIGH YIELD BOND ,EUR,FixedIncome,A,Accumulating,5,0.0135,0.0075,0.0000,North America,2019-06-07
LU1883861483,AMUNDI FUNDS PIONEER US HIGH YIELD BOND ,USD,FixedIncome,A,Accumulating,4,0.0135,0.0075,0.0000,North America,2019-06-07
LU0568620560,AMUNDI FUNDS CASH EUR ,EUR,MoneyMarket,A,Accumulating,1,0.0019,0.0000,0.0000,Euro,2011-06-24
LU0568621618,AMUNDI FUNDS CASH USD ,USD,MoneyMarket,A,Accumulating,1,0.0007,0.0000,0.0000,World,2011-06-24
LU0113257694,SCHRODER ISF EURO CORPORATE BOND,EUR,FixedIncome,A,Accumulating,3,0.0107,0.0075,0.0000,Europe,2000-06-30
LU0106817157,SCHRODER ISF EMERGING EUROPE ,EUR,Equities,A,Accumulating,6,0.0186,0.0150,0.2000,Emerging Europe,2000-01-28
LU0358729142,SCHRODER ISF ASIAN LOCAL CURRENCY BOND,USD,FixedIncome,A,Accumulating,4,0.0124,0.0075,0.0000,Asia,2008-05-08
LU0302446215,SCHRODER ISF GLOBAL CLIMATE CHANGE EQUTY,USD,Equities,A,Accumulating,6,0.0234,0.0150,0.2000,World,2007-06-29
LU1983299246,SCHRODER ISF HEALTHCARE INNOVATION,USD,Equities,A,Accumulating,5,0.0214,0.0150,0.2000,World,2019-07-31
