Date,FundISIN,FundNAV
2021-05-25,LU0358729142,149.7658
2021-05-24,LU0358729142,149.3488
2021-05-21,LU0358729142,149.393
2021-05-20,LU0358729142,149.0062
2021-05-19,LU0358729142,149.2328
2021-05-18,LU0358729142,149.4832
2021-05-17,LU0358729142,149.2136
2021-05-14,LU0358729142,149.4692
2021-05-13,LU0358729142,149.2232
2021-05-12,LU0358729142,149.6842
2021-05-11,LU0358729142,150.0233
2021-05-10,LU0358729142,150.1471
2021-05-07,LU0358729142,149.418
2021-05-06,LU0358729142,149.0587
2021-05-05,LU0358729142,148.7421
2021-05-04,LU0358729142,148.6068
2021-05-03,LU0358729142,148.7916
2021-04-30,LU0358729142,149.0533
2021-04-29,LU0358729142,149.1603
2021-04-28,LU0358729142,148.7891
2021-04-27,LU0358729142,148.8738
2021-04-26,LU0358729142,148.8505
2021-04-23,LU0358729142,148.6522
2021-04-22,LU0358729142,148.7839
2021-04-21,LU0358729142,148.4963
2021-04-20,LU0358729142,148.5605
2021-04-19,LU0358729142,148.3303
2021-04-16,LU0358729142,148.0945
2021-04-15,LU0358729142,147.6264
2021-04-14,LU0358729142,147.678
2021-04-13,LU0358729142,147.3467
2021-04-12,LU0358729142,147.4884
2021-04-09,LU0358729142,147.4411
2021-04-08,LU0358729142,147.5865
2021-04-07,LU0358729142,147.6234
2021-04-06,LU0358729142,147.4242
2021-04-01,LU0358729142,146.6947
2021-03-31,LU0358729142,146.7034
2021-03-30,LU0358729142,146.5156
2021-03-29,LU0358729142,147.0648
2021-03-26,LU0358729142,147.3314
2021-03-25,LU0358729142,147.2668
2021-03-24,LU0358729142,147.3862
2021-03-23,LU0358729142,147.4012
2021-03-22,LU0358729142,147.4227
2021-03-19,LU0358729142,147.1666
2021-03-18,LU0358729142,147.1988
2021-03-17,LU0358729142,146.8993
2021-03-16,LU0358729142,146.9753
2021-03-15,LU0358729142,146.4126
2021-03-12,LU0358729142,146.7529
2021-03-11,LU0358729142,147.0815
2021-03-10,LU0358729142,146.429
2021-03-09,LU0358729142,146.5662
2021-03-08,LU0358729142,146.4088
2021-03-05,LU0358729142,148.2748
2021-03-04,LU0358729142,149.1263
2021-03-03,LU0358729142,149.6198
2021-03-02,LU0358729142,149.1254
2021-03-01,LU0358729142,149.4022
2021-02-26,LU0358729142,149.3936
2021-02-25,LU0358729142,150.7855
2021-02-24,LU0358729142,150.9413
2021-02-23,LU0358729142,150.9625
2021-02-22,LU0358729142,150.8272
2021-02-19,LU0358729142,152.0088
2021-02-18,LU0358729142,151.7073
2021-02-17,LU0358729142,151.9883
2021-02-16,LU0358729142,152.6598
2021-02-15,LU0358729142,152.9929
2021-02-12,LU0358729142,152.8422
2021-02-11,LU0358729142,153.2997
2021-02-10,LU0358729142,153.1503
2021-02-09,LU0358729142,152.6005
2021-02-08,LU0358729142,152.0425
2021-02-05,LU0358729142,152.2507
2021-02-04,LU0358729142,152.332
2021-02-03,LU0358729142,152.7927
2021-02-02,LU0358729142,153.1594
2021-02-01,LU0358729142,152.4801
2021-01-29,LU0358729142,152.9803
2021-01-28,LU0358729142,152.4662
2021-01-27,LU0358729142,152.69
2021-01-26,LU0358729142,152.962
2021-01-25,LU0358729142,153.0034
